Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams,Company,,,,,,,
,User (Collaborative Production),Governance & Smart Contracts (Decentraland DAO),intellectual property,Providing a stage for NFTs,Virtual,Application Programming Interface (API),Businesses,Taxes,,,,,,,,,
,IT (Cloud) Companies Investors,Governance MANA and LAND (Decentraland Foundation),Metaverse,Providing infrastructure and tools needed to support a shared virtual world/metaverse,Digital,"Web3 DApp browser partner: (Cipher, Toshi und TrustWallet) als Mobile Marketplace",,R&D,,,,,,,,,
,Cryptocurrency exchanges (e.g. Coinbase),,,,Collaboration,,,Cyber Security,,,,,,,,,
,Third-party marketplaces (e.g. OpenSea),,,,,,,"Other fixed costs (such as office rent, etc.)",,,,,,,,,
,"Web3 DApp browser partner: (Cipher, Toshi, TrustWallet).",,,,,,,,,,,,,,,,
"Boxabl makes real estate investment more accessible to the general public by automating the process of designing, constructing and distributing buildings. Through its novel technology, the company also significantly lowers the price of buying a house.",Investing,R&D and production,Financial resources (investments),30% lower house construction costs,direct communication,"Communication tools (email, website, social media)",private home buyers,Administrative management,Sale of the units,boxabl,,,,,,,
,Banks and insurance companies,"Marketing, distribution and sales","Data (regulations, rights, research)",Time efficiency in production due to automation and in installation due to ready-to-deliver and ready-to-deliver constructions,ongoing updates,"Media appearances (news channels, TV shows, interviews, podcasts, articles)","Companies (simple office buildings, accommodation for seconded employees)","Equipment (plants, material, machines, devices, means of transport)",Investments,,,,,,,,
,"Construction companies and suppliers (factory construction, materials, construction machinery, means of transport, furniture, etc.)",Transport and installation,Patent (construction technology),"high and consistent quality (fire, flood, mould, pest-resistance, etc.)",insight into the processes and visualisation possibilities,Guided tours and exhibitions,"Institutions and organisations (FEMA, military, hospitals)",R&D and production,,,,,,,,,
,"Institutions (legal institutions, governments, hospitals)",Customer support,"Equipment (plants, materials, machines, devices, means of transport)","simplification of the house purchase process through pre-inspected and detail-considered models (regulations, connection points, interior fittings)",Waiting list system,online reservation system,,"legal steps (patenting, inspections)",,,,,,,,,
,Organisations and public figures,,Human resources,Neutral and modular design that allows for personalisation,affiliate programme,,,"marketing, distribution and sales",,,,,,,,,
,Media,,,Also intended for people with disabilities,,,,transport and installation,,,,,,,,,
,Partners (Porsche Consulting),,,,,,,human resources,,,,,,,,,
"Makerpad takes a lot of care about their community as it gives additional value to learning people, when they connect to others who are experiencing the same. The community driven approach is very useful for all the individuals on the platform for commincating and exchanging tips and informations about new learnings.",Partner Software Companies,Creating technological infrastructure & design,Tutorials,Learning platform for no-code,Community,Website,Software Companies,Platform development,Subscription Model,makerpad,,,,,,,
,Production Teams,Community Management,Partnerships,Freemium,Online application,Forum,Users learning new skills,Platform design (UI/UX),249$ / year,,,,,,,,
,Investors,"Creating tutorial content, blog content, etc.",Job Board,Easy to use,E-Mail,Social Media,,Human resources,600$ / a lifetime,,,,,,,,
,Community,Acquiring new partnerships for courses,Community of user,DIY Learning,Support,Blog,,Marketing & Promotion,Fee-based courses,,,,,,,,
,,Product Development,Expert knowledge,Saving costs for digital tasks,,Mobile app,,Content Production,,,,,,,,,
,,Adding jobs to job board,,Getting to know new softwares,,Live Coaching,,Server Costs,,,,,,,,,
,,Live courses,,Joining a community,,Word of Mouth,,Payment Fees,,,,,,,,,
,,,,Opportunities for jobs,,Newsletter,,,,,,,,,,,
,,,,,,Events,,,,,,,,,,,
Clients can purchase additional services (such as additional host hours or video teasers) to their package.,Advertising partner,Podcast production,Large network,Own podcasts,Personal advice,Homepage,Companies,Human Resource,Revenue from in-house productions,wepodit,,,,,,,
,Own podcasts,Podcast marketing,Reichl and Partner,Good advice,Responding to the customer,Instagram,Content Creator,Production,Packages for companies,,,,,,,,
,Reichl and Partner,Podcast consulting,Wexplore,Understanding what listeners want,,,Podcast Lover,Equipment,Packages for content creators,,,,,,,,
,Wexplore,,Know-how,Podcast as an advertising mix,,,,Hostings,Packages for advertisers,,,,,,,,
,Freelancer,,Social Media Marketing,Realising the podcast dream,,,,,Advertising,,,,,,,,
,,,Audio Equipment,,,,,,,,,,,,,,
"The showrooms designed by b8ta, including the software, are made available to a wide range of companies and producers. Thus, a large category of diverse products is offered in the b8ta stores.",Producers,Community Management,"Space, area, building",Trustworthy & Reliable Platform,Support Team,Website,Individual consumers,Platform development,Monthly rent of the traders,b8ta,,,,,,,
,Investors,"Customer service, consulting",Software Systems,Design,Online request,"Social media (Instagram, FB,..)","Individual traders, start-ups","Store maintenance, technology",,,,,,,,,
,Brands,Technical infrastructure creation and design,Design,Accessibility,Customer Service via Website,Blogs,,"Platform, Store Design",,,,,,,,,
,Start-ups,Software development,Expert knowledge,"Discovery of new innovations, technologies",Customer consultations,Youtube Videos,,Human Resources,,,,,,,,,
,Designers,"Provision of infrastructure (space, area)",Staff,24/7 Support,"Education, advice in the stores",Email,,"Rent/purchase of space, floor space etc.",,,,,,,,,
,Programmers,"Data collection, generation","Technology, Tablets","Collection and provision of data, customer insigths",,Public relations,,Staff,,,,,,,,,
,,Data analysis,Website,Easy to use,,Word of mouth,,IT Cost,,,,,,,,,
,,,Power,,,,,Preparation of customer analyses,,,,,,,,,
,,,Community of consumers,,,,,,,,,,,,,,
,,,Community of producers,,,,,,,,,,,,,,
"One of ALDIs main goals is to be easily accessible to most people in low to middle income households. It currently has a network of over 6.982 physical stores in 11 countries, as well as providing online services in some of those countries. Most of its stores are wheelchair accessible, while being relatively small and compact in comparison to the number of parking spaces provided.",Farmers & manufacturers of private brands,Sale of products in stores,Internal distribution & logistics network,Low operating costs,Primarily self-service,Websites (international & national),Most common customer: females over 60 years of age,Advertising,,,,,,,,,
,3rd party brands (ex. Haribo),Sale of products online,Internal product manufacturers + own private labels,High profit margins through private brands,24/7 customer service help online,Online Shopping Service (only some countries),working class with low to middle household income,Manufacturing and acquiring products & external brands,,,,,,,,,
,Community partners (for ALDI community projects & donations),Development of subsidiaries,Individual standardized barcode system,Own article numbers for faster assortment changes and checkout processes,Interaction with customers on social media,Mobile Apps (iOS + Android),Households on city outskirts / suburban neighborhoods,Operation and maintenance of supply chain and distribution networks,,,,,,,,,
,Sponsorship & marketing partners,Continuous expansion & improvement of existing infrastructure network (ex. buying cheaper properties in city outskirts),Efficent employees,Accessibility (over 6.982 stores in 11 countries),Emotional affiliation through community projects,Physical Stores (6.982),Corporate/business customers (ex. restaurant owners),Management of partnerships,,,,,,,,,
,"Strategic partners (like TGTG, with which ALDI collaborates to achieve mutual benefit for both sides)",,,"Sustainability (climate protection goals, zero carbon initiatives, organic products)",Partnerships & Sponsorships,Newsletters / Magazines,Employees of corporations (with unlimited gift card system),Employee wages,,,,,,,,,
,"Subsidiaries (ALDI Talk, ALDI Gaming, etc.)",,,"Efficiency (warehouse-style presentation, small core product range, no frills shopping experience)",,Social Media Channels,People interested in climate protection & sustainability,IT Infrastructure development and maintenance,,,,,,,,,
,ALDI North (strategic collaboration on projects like ALDI Talk),,,,,,People who strive for efficiency when shopping,,,,,,,,,,
"In addition to the various content creators, the individual User OnlyFans are also the target group. It offers not only famous personalities the opportunity to be in closer contact with their fans, but also does this for individual users.",Content creators,Share content,Fanbase,Direct access to users,Contact support team,Website,Content creators,Platform development,,,,,,,,,
,,Build a fanbase,Paywall,Access to exclusive content from creators,DMCA team,Mobile app,Content viewers,Platform design,,,,,,,,,
,,Generate money,Influencers activity,Developing an authentic relationship with their fan communities,,Social media,,Marketing,,,,,,,,,
,,Commision of the platform,Software,"Interaction with content creators (celebrities, managers, fitness trainers...)",,Word of mouth,,Payment of infringements,,,,,,,,,
,,Maintain security measures (paywall),Watermark,Individual content for users,,,,,,,,,,,,,
,,Generate secure and uncomplicated interaction / exchange between users and content creators,Porn content,Quick and easy to earn money,,,,,,,,,,,,,
,,,,No restrictions,,,,,,,,,,,,,
"TUI cruise ships offer a wide variety of ""businesses"". From restaurants, cafés, bars, clubs to various other leisure facilities are offered on one terrain.",Travel community operator,Community management,Market,Passenger transport combined with holidays,Staff team -> takes care of the guests on board and offers 24h service,Website,Independent travellers,Petrol prices,,,,,,,,,
,Individual travelers,Customer service,Staff/ employees,Entertainment and relaxation in one space,Personal assistance can be requested,Online booking platforms,Families,Fleet: construction and maintenance,,,,,,,,,
,Cruise ship shipping companies,Passenger transport,Destinations/ ports,24-hour service,Online consultations for various offers,Social media,Seniors middle to higher earners,Human resources,,,,,,,,,
,Bloggers,Travel planning,Financial resources,All-inclusive programme,,Word of mouth,Business travel,Marketing,,,,,,,,,
,Legal institutions,Entertainment,IT - Database,Travel organisation,,,,,,,,,,,,,
,Investors,Accommodation,Ships,,,,,,,,,,,,,,
,Insurance companies,,,,,,,,,,,,,,,,
,Government,,,,,,,,,,,,,,,,
,Suppliers,,,,,,,,,,,,,,,,
,Ports/ Destinations,,,,,,,,,,,,,,,,
,Competitors,,,,,,,,,,,,,,,,
"When booking a trip with AIDA, you only pay for the basic journey. Later, you can buy meals and various additional activities.",Travel community,Pre-built travel offers,Brand, Affordable pricing,Board Crew and staff,Website,Families,Fleet maintenance,,,,,,,,,
,Carnival Corporations & plc.,Creating infrastructure & entertainment,Fleet,Pre-organised travel experience,Online support contact,Social media,Seniors,Insurance,,,,,,,,,
,Suppliers,Customer Service,Partners,24/7 Service,Online booking,Blogs,People from 25 - 80 years old,Human resources,,,,,,,,,
,Insurance companies,Marketing,Employees,On-board activities and entertainment,,Word of Mouth,Business travellers,Marketing,,,,,,,,,
,Legal institutions,Accommodation,Ports,Passenger transport,,,,Boat purchases - Fleet construction and maintenance ,,,,,,,,,
,Abroad tourism regulations,Passenger transport,,,,,,Fuel costs,,,,,,,,,
,Ports and destinations,,,,,,,Food and drink ,,,,,,,,,
,Joint venture (SeeLive ??Tivoli Entertainment & Consulting GmbH - Entertainment),,,,,,,Membership - ?�Aida Club??,,,,,,,,,
"One pattern that defines the company is customer intimacy. Here it is important to formulate a strong customer communication that the company responds to the wishes and requirements of the customers, in this case the patients who are treated with their products. By offering more detailed information about the course of operations, a strong customer intimacy can be achieved.",Legal institutions,Creating technological infrastructure,Robust technology,Trusted & reliable systems,Close contact During demonstrations of the operation procedure (answering questions),Direct channel,Hospitals,Human Resources,,,,,,,,,
,Surgeons,Customer service,"Video classifier files Has installed over 1,800 systems worldwide",Promise more effective surgery with lower risk factor,Private Coaching -Longer contact with the surgeons during demonstrations of the equipment.,Indirectly via distributors,Clinics,Marketing,,,,,,,,,
,Patients,Product development,Is the global technology leader in minimally invasive robot-assisted surgery,Enables less invasive surgical procedures,Self-directed training,Sales representatives,Patients who need surgery,Research & Development,,,,,,,,,
,Investor,Prototype development,Coaching & Training,Safer surgical procedures for more people,Ongoing supervision and support of the surgeons with the equipment,Website,Surgeons using the Da Vinci systems for operations,Engineers,,,,,,,,,
,Research labs,Manufacturing,,Make surgery easier for surgeons,,Social media,,Production Costs,,,,,,,,,
,Advanced manufacturing facilities,Marketing,,,,Trade fairs,,Distribution costs,,,,,,,,,
,Service providers,Turnover,,,,,,Offices,,,,,,,,,
,Programmers,Training,,,,,,Laboratories,,,,,,,,,
,Developers,Research & Development,,,,,,Technology,,,,,,,,,
,Hospitals,Surgical interventions,,,,,,,,,,,,,,,
,Competitors,,,,,,,,,,,,,,,,
"PriceHublle relieves corporate clients of the tedious collection of relevant real estate data and subsequently the complex real estate valuation. In addition, the generated data is visualised in a clear and comprehensible way. In order to obtain the relevant data for one's own real estate, only about 15 details have to be entered and the rest is done by PriceHubble's AI algorithm.",Investors,Development and maintenance of the platform and the K-algorithm,Big Data,Trustworthy and reliable information,Customer service,Website,Corporate clients from the real estate industry,Data mining,,,,,,,,,
,"Cooperations for data acquisition (e.g.: appraisal committee, companies in the real estate sector)","Data management (generation, administration, analysis, evaluation of data)",Databases,Transparent information,Website,Mobile App,,AI algorithm development costs,,,,,,,,,
,"Cooperations with foreign companies to open up new markets (e.g.: Yellowtail, Wealthpark)",Comprehensible preparation and visualisation of data (UX design),Human Capital,Data-based valuation solutions for residential real estate,,Social Networks,,UX design,,,,,,,,,
,"Cooperations with companies from relevant sectors (e.g.: Bottimmo, FinaSoft)",,Monetary capital,Improved key performance indicators,,Blog,,Human capital,,,,,,,,,
,Acquisitions - realtify and checkmyplace.com,,AI algorithm,Fast and improved real estate decisions,,Public Relations,,Maintenance,,,,,,,,,
,,,,Comprehensive market analysis,,Word of mouth,,,,,,,,,,,
,,,,Forecast of future developments,,Cooperations,,,,,,,,,,,
,,,,Ease of use,,,,,,,,,,,,,
,,,,Comprehensible design,,,,,,,,,,,,,
"BYJU'S offers tutoring and supplementary learning content at home and can thus replace often costly other solutions for knowledge promotion. In this way, a wide range of topics can be covered, time can be individually allocated and the learning process can be supported in a pleasant way. The possibility of testing free content also enables learners to quickly gain initial insights and only then select the perfect course.",Teachers/teaching staff,Online Classes,Brand,Visual interactive learning,Teacher,Website,Private persons/students(= learners who use the offer as a supplement to school or as extra tuition),Website design and maintenance,,,,,,,,,
,Investors,Continuing Education,Teaching staff,Flexible and personalised learning,Online Website,Social Media,Parents who want to support their children,Teaching staff,,,,,,,,,
,Companies that have been bought out,Tutoring,own know-how + from acquired companies,One-to-one teaching / tutoring (BYJU'S Classes),Online Classes,Word of Mouth,Students who use the offer for exam preparation,Technicians,,,,,,,,,
,Education system,Identify learning style and speed and adapt the programme accordingly (e.g. by means of practice tests),Apps,Regionally adapted subjects,,Satisfied customers (word of mouth),,Marketing,,,,,,,,,
,,Prepare teaching content in a comprehensible way,,Comprehensible explanations based on real-life objects Learning with fun,,,,Start-up costs,,,,,,,,,
,,Providing a wide range of relevant topics and concepts,,High quality content,,,,App development and maintenance,,,,,,,,,
,,Complementing the classical education system,,effective learning and tutoring results,,,,Costs of taking over other companies,,,,,,,,,
,,,,price-performance ratio,,,,,,,,,,,,,
,,,,Targeted exam preparation,,,,,,,,,,,,,
,,,,Performance assessment through practice tests,,,,,,,,,,,,,
