Company,Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams
waze,Community- based mapping and navigation app creating local driving communities to enhance the quality of the members' daily driving experience,"Gas partners, Broadcasters, Developers","Technological engineering, Product development, Community management, Data analysis","Technological infrastructure, Community","Helps save time & gas, Way to outsmart traffic, Improves daily commute & helps avoid frustration, Creates driving communities to the ""common good"" on the roads","Email support, Community forum, Waze wiki, Blog, Social media",Application,"Frequent drivers, Advertisers","Development and maintenance of technological infrastructure, Salaries","Free to download & use, Advertisement"
apple-itunes,"ITunes is a media player, online radio broadcaster, and mobile device management, and media library application developed by Apple Inc. It is a free app that lets you organize and play digital music and video on your computer running the OS X and Microsoft Windows operating systems. It is also a store that has everything you need to be entertained, e.g., users can buy and download music, videos, podcasts or movies. This specially designed iTunes store can be accessed from iPod Touch, iPhone, iPad, and Apple Watch.","Retailers, OEMs, Content providers","Design of hardware, software and the complete customer experienceXYZ, Development of the platform and the devices, Sales & marketing, Relationship building with content providers (e.g. music labels, app developers, ....) and hardware manufacturers","Brand & image, Technology know how, Access to millions of customers through iTunes and the iTunes store, Digital rights management system","Easy access to music, videos, books, movies, TV shows and apps, One central location for all entertainment: entertainment supermarket, Immediate availability through download; only buy what you need (e.g. individual songs), iTunes as the central hub for home entertainment (in combination with Home Sharing and Apple TV), All your content available on multiple devices, iTunes Radio: free streaming radio, Access to millions of customers through a unique sales channel","Lock in of customers through the iTunes platform and the devices, Very emotional positioning, Lovemark, Lock in of content providers","iTunes software and app, Website apple.com, Apple shops and resellers for devices, Dedicated Apple developer website area, Apple developer program + conferences","Youg high-tech generation, Mass market, Music labels, App developers, Content providers, Movie studios, TV, entertainment and media companies","Development, Marketing, Manufacturing, Platform management, Infrastructure to run iTunes","Sales of hardware, Sales commission on 3rd party content (music, books, movies,...), Additional services like iTunes Match"
shazam,"Shazam provides a smartphone-based music identification service enabling customers to explore and share favorite music and TV shows. It is available on all major app stores and platforms allowing to recognize music and TV productions in the vicinity, on average within around four seconds. The identification starts as soon the Shazam button on the app is tapped creating a digital fingerprint of the audio and matching it against Shazam's larga data base of songs and TV shows. The user receives information such as the name of the track, the artist, lyrics, concert tickets and recommended songs.","Distribution services, Media player/ music streaming channels, Advertising companies","Platform development & maintenance, Advertising sales","Data base of songs & TV shows, Software, The best 200 employees (regarding the CEO)","Identifying music and TV, Sharing discoveries on social media platforms, Helps to engage people with the world around them","Community, Blog","Word of Mouth (most important regarding the CEO), Mobile app, Social network sites","Mass market, Advertisers","Platform maintenance, Data base costs","Free, Sales from tagged content, Advertisement"
glaxosmithkline,"GlaxoSmithKline is a global British healthcare company specializing in developing pharmaceuticals, vaccines, and consumer healthcare products. Being one of the largest pharmaceutical companies, GSK offers a portfolio of products for the three primary areas pharmaceuticals, vaccines, and consumer healthcare. GSK was formed in 2000 by the merger of GlaxoWellcome plc with SmithKline Beecham plc. During the recent years, the company underwent many changes in order to put patients first and improve access to medicines by using its huge global reach and impact. It transformed its business model by accelerating R&D, opening up research, and exploring new strategies for distribution and partnerships.","NGOs, charity partners, Pharmaceutical companies in developing countries, Supply chain partners","R&D, Manufacturing & supply, Sales & marketing","IP, Human resources","Greater access to medicines, Affordable medicines in low-income countries, Treatments for a wide range of conditions, IP for neglected tropical diseases","Information through local websites, Clinical Study Register, In US: GSKSource, Acquisition & retention","Healthcare professionals & doctors, Patent pools","Healthcare professionals, Patients in least developed countries, External researchers","R&D, 20% of profits made in least developed countries are reinvested into healthcare projects, Marketing costs, Human resources","Developing countries: focus on volume of medicines supplied rather than revenue generated (products sold for no more than 25% of the developed world prices), Product sales, License fees"
foursquare,"Foursquare offers a local search and discovery service mobile app which leads users to places based on their tastes. Users get recommendations and can find ratings for similar places. The second app provided by Foursquare is Swarm which allows users to check in at venues that are listed in the particular area in the database and connect with their friends. As of June 2015, the community includes more than 55 million people worldwide, who have left more than 70 million tips and checked in over 7 billion times.","Developers, Social media platforms (Facebook, Twitter), Operating systems & digital maps providers","Technological development, Product development, Sales","User & venue database, Community, Brand","Discovering great places, Easy way to meet up with friends, Information sharing with friends, Connects businesses to people (businesses can reward customers, provide them insider tips), Analytics","Automated services, Communities, Developer forum, Co-creation",Mobile app,"People who want to connect with friends in a fast & easy way, Explorers who want to know about the best spots, (Local) businesses who want to engage with their customers, National chains/ brands, Advertising agencies","IT maintenance, Human resources","Advertisement from bands and agencies, Partnerships with companies (charge if users tap on ad or visit the venue)"
skype,"Skype is a proprietary telecommunications application that specializes in videotelephony, videoconferencing, and voice calls over the Internet. Additionally, it includes instant messaging, file transfer, and debit-based calls to landline and mobile phones (through regular telephone networks). Skype's initial implementation utilized a mixed peer–to–peer and client–server architecture. Today, Skype is available on a variety of desktop, mobile, and video game console platforms and is operated by Microsoft subsidiary Skype Technologies. Skype was used by 100 million people on a monthly basis and 40 million people on a daily basis as of March 2020.","Distribution providers, Telecom companies, Hardware manufacturers, Payment providers","Software development, Complaint management","Software, Developers, Brand","Free services connecting users across the globe: instant messaging, sending files, skype to skype (video) calls, conference calls, Online skype number: users can call at local rates; Skype To Go, Skype WiFi, Skype connect: integration with the own phone system, Skype out calls (to phones), License to produce skype hardware","Subscription, Personalized self service, Social media","Website & mobile app, Skype managers, Hardware partnerships for accessories","Internet users who want to make calls worldwide, Businesses making international calls, Hardware manufacturers","Software development & maintenance, Marketing, Complaint management, Partner fees, Costs for skype out","Free basic services, Subscriptions & Skype credit (prepaid), Skype hardware, Advertising"
sugarsync,"Launched in 2008 and based in San Mateo, California, SugarSync, Inc. is a privately-held, venture capital backed company specializing in data back-up and storage applications which can be accessed from personal computers and mobile phones. The company underwent a transition from a freemium business model granting free storage for an unlimited time period to paid-only service model pursuing to offer a premium service with unprecedented control and flexibility over data through the company's multisync capabilities. Sugarsync was acquired by J2 Global in March 2015.","Mobile and online operating systems, Bloggers, Online security providers, Investors, Developers, Resellers","Product development, Technological maintenance, Security maintenance","Technological infrastructure, Access to cloud storage servers","No limits on the types of files, Full control over stored data, Personalized file security settings, Easy data manipulation, Access, syns and sharing of files across devices, Service matches the existing folder structure","Social media, Customer support portal, Press releases, Video tutorials","Website, Mobile application","Individual customer, Business customer, Users of mass of data","Technological maintenance, Cloud storage cost, Online security provision",Revenues through subscription per month or year
instacart,"Instacart provides a grocery delivery service where customers can order the products by using their phone or the website and have them delivered shortly afterwards. Customers can select over 300.000 items from several local stores such as Whole Foods, Safeway or Costco and mix items from different stores into one order. Instacart is based on a crowdsourced, marketplace model with users being connected to personal shoppers who shop the ordered items and deliver them to the customers.","Local stores, Financial partners","Creating technological infrastructure, Local market management, Shopper management, Customer service","Partnerships with local stores, Fast & skillfull shoppers, Technology","Best way to shop for groceries, Delivery within one hour, Grocery delivery experience, Meeting other people & explore the city, Flexible schedule","Automated customer service, Social media, Transactional","Website, Mobile app","Users: people who do not like or do not have time for shopping, Shoppers: people with a car & a smartphone who enjoy shopping","Payment for shoppers (up tp $25 per hour), Technological set-up","Delivery fees, Surcharge on the store price, Membership fee for Instacart Express"
evernote,"Evernote builds apps and products aiming at support individuals and teams in their work. By creating a workspace across the phone, tablet, and computer, customer can use this place to organize notes. Notes can be sorted into folders, then tagged, annotated, edited, given comments, searched, and exported as part of a notebook. As additional features users can show presentations to colleagues. The company also offers online synchronisation and backup services.","A range of 3rd party app, software and hardware developers, whose products can be used together with Evernote Evernote markets these products through its ""Trunk"" which is integrated in the website and the Evernote apps, Moleskine: collaboration for a special Evernote notebook","App development, Collection of how to use scenarios, Sales & marketing, Customer support","Ecosystem, Staff, Brand","Evernote & Evernote Premium as main service, Evernote Business as main service, Evernote is a suite of software and services designed for notetaking and archiving Remember everything Capture everything Access anywhere Find fast, A range of apps to access Evernote from multiple devices, A range of secondary free apps for various purposes, Evernote Market with physical goods","Customer are being locked in through the availability of the notes on multiple devices, Evernote community, Live chat and email assistance are available for Evernote Premium, Business, and Market customers","Website, Apps on the web, Trunk, Apps for mobile devices: Android, iOS, Blackberry, Windows Phone, Apps for computers: Mac, Windows, Windows 8","Individuals, Businesses","IT infrastructure, Staff","Monthly subscription, Extra fee for additional upload allowance per month"
university-of-the-people,"University of the People is the world's non-profit, tuition-free, accredited online university dedicated to enabling access to higher education and promoting the global reach of academia. Admitted students can enroll in Associate and Bachelor degree programmes in Business Administration and Computer Science. The courses are accessible worldwide as only a computer and Internet connection is needed to receive the educational material which consists of online texts. Students are requested to pay low processing fees, however scholarships are provided if the fees cannot be covered. The university maintains partnerships with companies, charities, and academia to provide grants and teaching as the course instructors work on a voluntary basis.","Corporations, Foundations, Academic partners","Creating and maintaining the IT infrastructure, Managing partnerships/ Acquiring new partners, Managing the online learning community, Managing the community of volunteers","Technological resources, Global Internet connection, Partnerships, Volunteers","High-quality and low-cost higher education, Convenient e-learning with only laptop and internet access, Accredited courses, Unique learning experience in a virtual classroom","Community, Guided classes","Online, Word of mouth",Individuals who are at least 18 years old and have completed High School,"IT infrastructure, Human resources","Processing fees for application and exams, Donations"
getaround,"Getaround is an online-based peer-to-peer car sharing marketplace connecting car owners and renters to share vehicles. Renters can choose from a wide range of cars listed in their neighbourhood to be booked on a hourly or daily basis and paid only per use. The company does not charge any monthly or annual fees which creates a high flexibility for the user. The service also includes full insurance and 24/7 roadside assistance. Car owners list their car for free and decide when to rent, who to rent, and for which price.","Insurance company (Berkshire Hathaway, Payment partners","Creating & maintaining IT infrastructure, Customer service, Marketing & branding, Screening & safety maintenance, Community & fleet management","Community, Online & mobile marketplace","Convenience & coverage, Wide choice of cars to be rented hourly or daily, Insurance included, Possibility to earn money while doing good","Help center (automated, email, and phone for emergencies), 24/7 roadside assistance, Blog","Website, Mobile app for iPhone, Word of mouth","Individuals without a car (over 19 years with at least 2 years driving experience), Car owners","IT infrastructure, Insurance costs, Operational costs","Commission from renters (40%) Profit sharing with vehicle owners (60%), Additional service fees if rules are not met"
western-governors-university,"Western Governors University (WGU) is a nonprofit online university founded and supported by 19 U.S. governors. WGU does not only teach new skills but also grants credits for existing ones. As compared to the traditional university model there are no classes, lectures or a fixed academic calendar. To obtain the necessary competencies for a modul (if lacking), students are given learning materials and guidance from a mentor. Tuition is charged at a flat rate per six-months term regardless of the number of courses the student has taken. As of July 2015, the university had nearly 60,000 enrolled students and more than 50,000 graduates.","Licensing partners (e.g., Pearson, McGraw-Hill), Leaders from private corporations and foundations (e.g., Google, Microsoft), Proctoring companies","Development of competencies, Providing materials to teach the content for each program, Partnership management","Competency-based educational model, Access to course materials","Competency-based educational model: students receive credits for what they already know, Access to online course materials: students receive course materials at lower cost, No fixed schedule: students can study at their own pace, Students can take exams whenever they feel ready to, Access to higher education at lower cost","Self-instruction, Guidance through mentors","Online, Bricks and mortar university branches","Working adults (without degree) who seek to improve their qualification, College dropouts, High-school graduates","Fees for course materials, Operational costs","Tuition fees, Program-specific fees, Additional fees (e.g. testing fees)"
trinity-school,"Trinity School is a preparatory, coeducational independant day school for Grades K-12 based in New York. The school has an average enrollment of about 960 students selecting in particular talented and motivated children from different social and economiy backgrounds. Being no longer dependent on investments from a specific religious body, the school aspires to create a community characterized by religious, racial, and ethnic diversity.","Associations and educational organizations, Insurance companies, Publishing companies","Creating teaching material, Event management, Alumni management, Maintenance of the facilities","Teachers, Facilities, Curriculum","Inspiring & caring teachers, Challenging training of body and mind, Diversity among students, Providing tools of rigorous and passionate inquiry, Forming students to persuasive and responsible citizens","Community, Conversation between teacher and student, ""Angel"" programs","School campus, Online classroom, Videos & podcasts","Talented children from various cultural and social backgrounds, Parents, Donators","Human resources, Real estate, Equipment, Event organization","Tuition fees, Income from endowment, Gifts to the Trinity Fund"
zipcar,"Zipcar, a subsidiary of Avis Budget Group, Inc. based in the United States, has become the world's leading car sharing network with operations in the United States, Canada, the United Kingdom, Spain, France, and Austria. It is highly represented in urban areas and college campuses and offers a broad variety of automobiles which can be used per hour or day on a self-service basis. A membership is required in order to use the service which is primarily addressing residents, companies and universities seeking for smart, simple and convenient solutions to urban and campus transportation needs.","Petrol companies, Insurance companies, Parking authorities, Car park operators, Car manufacturers","Car servicing, Customer service, Marketing & Branding, IT maintenance (online & mobile), Fleet management","Car pool, Distribution facilities, Partnerships","Proximity, Coverage, Comprehensive payment system, Easy & convenient, Flexibility","Customer service (local branches and hotline), Social media, Transactional","Website, Local offices, Word of mouth","Individuals without automobile, Business section (companies & employees), Universities & students, Fleet managers","Automobile provision and maintenance, Parking costs, Sales staff, Costs for rental packages (gas, insurance, daily mileage, reimbursement for customers' expenses)","Membership fees, Reservation fees, Additional usage fees"
nikki-beach,"Nikki Beach offers a beach club concept including elements promising a real luxury lifestyle experience: music, entertainment, fashion, film and art, with all facets of the programme being of high quality. Nikki Beach can be found in the most trendsetting locations worldwide and can now be experienced in twelve cities in nine different countries with more locations to come. Nikki Beach is a family owned and operated business which was initially founded by Jack Penrod in 1997 as Café Nikki, a garden at Penrod's Beach Club in South Beach that later turned into Nikki Beach. This idea originated after Penrod's daughter passed away in a car accident in order to pay tribute to her, to celebrate and honor the beautiful life his daughter had experienced before the tragedy.","Hotels, Event services, Branding & advertising agencies, Travel & recipe websites, Construction partners","Marketing, PR, Sales, Maintaining the restaurant operations, Organization and management of parties, Beach club operations, safety & security, Room & guest management","Locations & facilities, Food & Beverages, Brand, Music & fashion, Boats/ yachts","Experience of luxury lifestyle, Celebrate life, Location for special events e.g. wedding, Exclusive culinary experience, Venue to meet celebraties, Entertainment & relaxation","Website, Social Media (facebook, twitter)","Nikki Beach Locations & Nikki Beach Hotels, Niki Beach TV, Online Shop","People who want to celebrate life, Young, fashion and lifestyle- oriented people, Honeymooners, Hotels","Maintenance of the beaches and facilities, Human resources, Construction of resort areas, Real estate costs, Procurement of food & beverages, Procurement of food & Maintenance of the boats","Ticket sales for organized events (pool parties, club events, boating reservations, wedding parties), Revenues from the restaurant orders, Sales from fashion and music products"
xiaomi,"Xiaomi Technology Ltd Co. is a Chinese manufacturer and distributor of mobile phones and consumer electronics. It is devoted to create software, hardware and internet services ""just for fans"". It follows the culture of being a highly user-centric mobile internet enterprise and exceeding the user expectation through innovation and the pursuit of perfection. Founded in 2010, Xiaomi has branched out from smartphones to tablets, the large-screen HDTVs, a set-top box and home router, phone cases, and portable chargers, as well as a plush toy bunny family, the company mascot named Mitoo.","Suppliers (e.g. chipmaker Nvidia), Distribution partners, Fan community, Mobile operators, Developers","Manufacturing, Community management, Software development","IT infrastructure, MIUI, Employees","Creating an all aspect user experience, High quality and performance, Highly customizable ROM, Preeminent messaging application, Low price","Fans, Chat online, Co-creation","Website, Social networks",Mass market,"Hardware components, Technological infrastructure, Human resources","Sales of hardware, Paid apps, games & advertising, Other fee-based services"
zynga,"Zynga is a provider of online game services and was founded with the idea that playing games would become one of the main activities on the Internet. It is focused on making games simple, accessible, and social thus encouraging people to start playing. It follows the mission to connect the world through games which it pursues by combining engineering, industry-leading product management and analytics. Some of the most popular games to be named are FarmVille, Zynga Poker and Words With Friends.","Facebook, Payment services, Advertisers","Development of new games, Maintenance/ improvement of existing games","Agents involved in the game creation process (e.g. game developers), Existing games, Broad user base","Free online games, Social interaction by playing games together with other Facebook friends, Real money gaming (poker)","Network effects, Automated services","Facebook, Mobile devices","Casual Gamers, Advertisers","Game development and maintenance, IT infrastructure, Promotional events (e.g. fan meetups)","In-app purchases (sales of virtual goods), In-game poker revenues, Advertising"
ziferblat,"Ziferblat is a Russian coffee shop chain following the concept: time is money, and everything else is free. It makes its facilities available for the visitors in return for a fee to be charged for every minute spent in the venue. Guests have to note the time upon arrival and can stay as long as they want in the café. The complimentary offer includes snacks such as biscuits or fruits however own food can also be prepared in the kitchen. Guests can make use of the space for working, reading, or social activities which play an important part of the concept. ","Suppliers of beverages, food and Internet","Operation and maintenance of the coffee shop, Organization of social activities, Development of the concept","Concept of the coffee shop, Cozy atmosphere of the cafés","A comfortable meeting venue, Space as the product, Time as the commodity you pay for, Beverages, food and WiFi as amenities for free","Community, Social media",Coffee shops,Everyone who is looking for a space for own or social activities,"Rent, Staff, Costs for drinks, food, and WiFi","Pay per person per minute (3 pence in London), Free after 5 hours, Donations"
austrian-standard-institute-flatrate,"Austrian Standards Institute (ASI) is a neutral and non-profit platform for the development of standards at national, European and international level. ASI's core business is the coordination and the management of standardization work of about 6000 experts from different interest groups, such as enterprises, authorities, testing and research centers, and lobbies. Moreover, the organization distributes standards and offers electronic standards management (content management) and update services, literature related to standards, training services as well as conformity services (certification).",European and international standardization bodies which provide ASI with the licenses for the sales of standards,"Provision of a document management system, Provision of electronic updates",Document management system,"Access to state-of-the-art know-how, Modern, neutral and independent infrastructure for standard development, Offering training related to standards",Long-term relationship,Sales based on a long-term contract comprising >200 end customers,"Small to big companies, Trade associations with ex-lege membership (contract partner)",osts for development and operation of the document management system,Flat rate for access to standards
blackberry,"BlackBerry Ltd designs, manufactures, and markets a line of high-end smartphones primarily targeting corporate customers and consumers with a need for professional wireless solutions and a sense for hedonist products. In addition to selling BlackBerry hardware, the company provides monthly push email service access where mobile phone operators are charged dependent on the number of active BlackBerry subscribers on their networks. Push email service refers to an 'always-on' email service, where new emails arrive BlackBerry subscribers at real time. BlackBerry further sells device software and runs its ""Internet of Things"" platform helping customers to get control over a mass of data through their own IoT applications.","Suppliers, Manufacturers, Investors, Developers, Phone operators","Product development, R&D, Engineering, Security development, Sales, Marketing & communication, Customer support","R&D, Partnerships, Professional image, Technological capabilities","Wireless solutions help to integrate important things in personal & professional life, Instant communication features, for Android and iPhone for free, in real time, Wide selection of apps & media, Software for desktop, smartphone & business, Broad support program, Developer program","Website, BlackBerry communities, Blog, Social media, Knowledge base & manuals, Phone support","Mobile phone operators, Mobile phone retailers, Online shop","Corporate customers, Retail customers, Individual consumers","Human resources, Raw materials, Technological maintenance, R&D, Communication","Push Email service revenues per retail subscriber, BlackBerry phones & accessories, Software, PlayBook tablet"
squarespace,"Squarespace, located in New York City, was started in 2003 by Anthony Casalena, a student. The company is a leader in the industry of website construction. The company provides website design and maintenance services. The designer or operator of the website does not need any prior expertise or understanding in this field. The software offers simple, user-friendly handling through the use of templates and drag-and-drop elements. Squarespace users may create online stores, sell things, offer services, organize appointments, market their businesses, create email campaigns, and even improve their social media presence.","Users, Partners ( G Suite von Google, Getty Images, Cloud Storage, MailChimp plans, Paypal), Coding and Development, Investors","Marketing and promotion, Platform development, Design, IT maintenance, Integrations, Payment System, Planning systems, Negotiation, Strategy","Brand, All-in-one platform, Engineers and customer service, Network of partnerships, Design-focused templates","Trustful & reliable platform, Customer-behavior insights, DIY Websites and online stores, All-in-one provider, High quality Design templates, Easy to use","Easy Content Importing, No Plugins Necessary, Free 14-day Trial, Student discount 50%, 24/7 Customer Support, Customization","Website, Online platform, Blog, Press & Media, Social media, World of mouth","Businesses, Individuals (Photographers, Bloggers, Influencers, artists, musicians,..)","Platform development and maintenance, Marketing, Administrations, Payment Fees, Cloud infrastructure","Annual/ per month subscription accounts (cancel anytime), Transaction Fees (for selling occurring through their websites), Add-ons"
accel-partners,"Accel is a major venture capital firm focused on investing in individuals and businesses. Arthur Patterson and Jim Swartz founded the company in 1983. The company is headquartered in Palo Alto, California, with other offices in Bangalore, Beijing, London, and Shanghai. Accel Partners invests in businesses at all stages of development. The firm specializes in providing finance to companies involved in Internet technology, including those involved in Internet infrastructure, Internet software, and consumer services. Accel Partners invests in a diverse range of industries and nations, including Europe, the United States, India, and China. Among the firms the company has sponsored over the last 35 years are Atlassian, Braintree, Cloudera, CrowdStrike, DJI, Dropbox, Dropcam, Etsy, Facebook, Flipkart, FreshWorks, Jet, Qualtrics, Slack, Spotify, Supercell, UiPath, and Vox Media","Investoren, Partners, Externe / Interne Consultants","Management support, Customer Service, Analysis of the market, customers, Consulting services, Business development, Establishment of business relationships","Know-How, Brands / Market analyses, Knowledge of partners, Financial resources, Innovations, Networks, contacts","Financing, Provision of capital, Expert knowledge, Support during the process","Support Management, Customer Support, Direct contact / contact person, Meetings, Talks","Website, Social Media, Blog, Public Relations, Ted Talks, Global Platform","Start-Ups, Companies","Human Resources, Research and development costs, Wages and salaries, Provision of capital, Failure of a company","Participation in companies, Sale of the participations"
somfy,"Somfy Systems, Inc. creates, produces, and distributes window covering motors and automatic control systems. Retractable awnings, rolling shutters, outdoor solar screens, blinds, shades, draperies, projection screens, and home automation systems are among the company's offerings.","Manufacturers, Suppliers, Distributors, Architects, Planners, Smart-Home-Partner","Marketing, Smart home, Safety systems, Drive and control technology for roller shutters, sun protection, garage and yard doors, Somfys radio protocols, Engines, Controls, Sensors","Brand, Technical know-how, Factories, Patents, High-quality drive and control solutions for houses and buildings","Automation, Safety, Quality, More than 50 years of experience","Somfy Help Centre, Website, Social media, Customer advisory service, Accounts for clients","Social networks, Newsletter, Online shop, Somfy Videos, Catalogues, Specialist partner, private customer brochures, Somfy Forum","Specialist partner, Private customer, Architects, Planners","Marketing, Employees, Materials/product, Production, Product development, Factories",Sale of products
balcksocks,"Blacksocks provides an innovative user experience in online retailing through a sock subscription service and the first smart socks. For an annual subscription fee, the established sockscription, Blacksocks customers receive three pairs of socks several times a year by mail. Customers can choose their favourite design, size, and the delivery interval. The concept is to deliver socks through the letterbox at regular intervals, like a newspaper. Therewith, customers are offered a solution for unpleasant activities such as buying socks or sorting them after the wash.","Suppliers, Shipping partners, Developers, Miles & More partner, Payment partners","Marketing, Maintaining IT infrastructure, Design/purchasing, Customer relations","Products of high quality, iPhone app, Brand","Solves sock problems, Simple & convenient, Helps to save time, Customization options, Quality products","Subscription, Social media, Customer support","Online shop, Mobile app",(Business) men who do not like to shop for socks,"Procurement, Procurement, Marketing, Human resources",Subscription fees
doddle-parcels,Doddle Parcels is a parcel service dedicated to make sending and receiving parcels easy. It operates stores around main train stations that are open 7 days a week from early until late thus facilitating the pick up and sending process on the daily commute. Customers can choose to subscribe or to pay as per each transaction. Doddle partners with major retailers such as Amazon or Asos and offers additional perks such as free returns for shopping with the partners.,"Retail partners (e.g., Amazon, Asos, River Island), People from the community who pick up parcels for their neighbours","Logistics, Partnership management, Store management",Stores around major transport hubs,"Makes it easy to send and receive parcels, Quick and secure service, Stores are conveniently located in much-frequented areas and are open 7 days a week, Customers can pick up their parcels conveniently in their neighbourhood",Transactional,"Stores around major transport hubs, People from the community who pick up parcels for their neighbours","Mass market, especially commuters","Shipping costs, Store operations and maintenance costs, Staff","Fees for pick-up and sending, Monthly subscription"
whatchado,"whatchado is an Austrian web portal based in Vienna that sees itself as a handbook of life stories. The name whatchado comes from American slang for the question, ""What do you do?"" The idea behind it is to support young people in their career orientation by presenting them with video interviews with various professionals on the website. In them, people talk about their profession and career. A matching of inclinations is also offered. After being asked about their interests, users are shown videos of people who have answered the same or similar questions. The platform covers numerous professions and interviews people at all levels of the hierarchy - from apprentices to federal presidents.","Partner platforms, Governmental institutions","Maintenance & development of IT infrastructure, Collecting stories, Filming & post-production, Marketing & Sales","Online platform, Stories, Reputation","Real & authentic employee marketing/ personal story of company, Right employees for right positions, Reduction of hiring costs, Communication with young people/ companies on eye level, Insights about corporate culture, Inspiration & career guidance","Newsletter, Personal customer service, Employees as ambassadors for companies, Blog","Online platform, Social media, Career fairs","Companies, Users: mostly young people","IT infrastructure, Filming & video production + equipment, Travel expenses, Human resources","Sales of video stories, Fee for maintaining the company's career website"
couple,"Couple, formerly Pair, was a mobile app. As of 22 April 2019, the app is no longer available and the web interface returns Error 503.",Unknown,"App development, Community management",App,"A social network just for two people (couples), Tool for capturing insider-only moments of relationships, Increased privacy compared to other social networks",Self-service,"Google Play Store, Apple App Store",Young couples,"App development, Marketing","None so far (see ""Insights"" for possible monetization opportunities)"
zaycon-foods,"Zaycon Foods delivered food at wholesale prices directly from the grower to customers at selected locations, such as church car parks, businesses and schools. Customers had to register online to place orders, selecting a pick-up date, location and desired quantity. When a certain number of shoppers were reached, a refrigerated vehicle would come to the desired location and deliver the products directly to the customers' boots.","Farmers & processors, Trucks dealer, Insurance companies, Car service stations, Marketing & PR","Negotiations with farmers/ processors, Distribution, Market investigation","Partnerships with farmers/ processors, Truck fleet","Quality food at wholesale prices, ""Fresh from farm to the family table"", Flexible pricing system, No food waste, Exceptional customer service","Social media, Personal customer service, XYZ",Selling out of the truck,"Families, Price-sensitive customers, Group purchasers e.g. churches","Food purchases, Transportation costs, Maintenance of the truck fleet, Human resources",Produce sales
onego,"OneGo offered subscriptions for air travel on major airlines aimed at frequent flyers. OneGo used seven of the largest US airlines and offered flight plans for the West, Central and East regions as well as a nationwide flight package. The company promised to save business travellers time by focusing only on the best flight plans and making booking flights easy and convenient.",Airlines,"Maintaining & improving the IT infrastructure, Customer service, Managing flight bookings",Partnerships with airlines,"Unlimited-flight service on major airlines in U.S., Control of expenses for air travel, Easy & convenient booking, 4 different flight plans",Transactional,"Mobile app, Website",Frequent business travelers,"IT infrastructure, Airfares and additional fees, Operations","One-time account setup fees, Subscription packages, Additional fees (e.g. changes or cancellation)"
wunderlist,"Wunderlist was a productivity app that helped organise work, share shopping lists, plan activities, etc., helping its users get more done in the day. Users could easily collaborate with each other as important discussions about all to-dos are stored in one place. The Public Lists feature allowed users to discover things they want to do, see and do. Wunderlist kept all lists constantly updated with its real-time synchronisation feature. Wunderlist was a free online service for managing tasks and notes and was replaced by Microsoft To Do. The service went online in November 2010 and was available in over 20 languages. With five million users and 13.5 million lists created, it was the most popular GTD application for Apple iOS and was voted iPhone App of the Week in 104 countries in June 2011. Wunderlist was developed by the Berlin-based company 6Wunderkinder, in which Atomico, e42 GmbH, T-Venture and High-Tech Founderrfonds were shareholders. 6Wunderkinder and thus also Wunderlist were bought by Microsoft at the beginning of June 2015 for an amount between 100 and 200 million US dollars. In 2017, Microsoft announced that it would finally discontinue Wunderlist and replace it with its own ""To Do"" service. In December 2019, a date of 6 May 2020 was given. On 5 May 2020, it was announced that Christian Reber is an investor in the development of a Wunderlist successor, the to-do list app Superlist. As of 6 May 2020, Wunderlist will no longer be available.","Carrier partnership with Deutsche Telekom, Media partners","Development: various teams are in charge of the various operating systems, i.e. Windows, iOS, Android, Web, Mac, Marketing, Quality and support, Corporate Management","Staff, Brand and awards won","Productivity and task management for individuals and teams, Wunderlist: available for free on all devices (apps for web, iPhone, iPad, Android, Windows, Mac), Public Lists, Wunderlist browser extensions to capture online content and turn it into tasks, Wunderlist Pro: advanced features for teams","Social media, Automated service (instructional videos), Tour at the office, Blog, Newsletter","Website, App store, Apps for multiple devices","Individuals, Teams/ enterprises","Staff, IT Infrastructure","Free, Subscription: 4.99 USD per month or 49.99 USD per year"
jet-com,"Jet.com was an e-commerce company headquarted in Hoboken, NJ, USA. Launched in July 2015, it was a relatively new entrant to the online shopping scene and competes directly with e-commerce giants such as Amazon.com and eBay. On its launch, Jet.com relied on earning profits solely through the membership fee. However, as of October 2015, the company decided to waive the 50$ membership fee.","Brands, Retailers, Delivery partners","Development of IT infrastructure, Sourcing, Management of the retail partners, Order fulfillment, Customer service","IT infrastructure, Pricing engine, Partnership with retailers","Saving money from search to checkout, Receiving Jet Cash by buying from partner retailers, Free returns within 30 days, Free shipping on orders $35+, 24/7 customer care",Transactional,"Online website, App","Online shoppers, Price-sensitive consumers","Sourcing, Warehouse operations, Shipping, IT",Sales
